ID,Result,Score,Moves,Completed
785,Lost,506,95,1
786,Lost,36,1171,7
787,Won,789,519,8
788,Won,1043,265,8
789,Won,1069,239,8
790,Lost,456,145,1
791,Lost,484,117,1
792,Lost,391,109,0
793,Won,877,431,8
794,Won,1085,223,8
795,Won,705,603,8
796,Won,359,949,8
797,Lost,492,109,1
798,Won,727,581,8
799,Lost,559,143,2
800,Lost,417,83,0
801,Lost,498,103,1
802,Lost,494,107,1
803,Won,797,511,8
804,Lost,492,109,1
805,Lost,567,135,2
806,Lost,772,435,7
807,Lost,484,117,1
808,Won,369,939,8
809,Won,935,373,8
810,Lost,456,145,1
811,Won,423,885,8
812,Lost,624,179,3
813,Won,707,601,8
814,Won,1091,217,8
815,Won,661,647,8
816,Lost,646,157,3
817,Won,1071,237,8
818,Lost,474,127,1
819,Lost,525,177,2
820,Won,929,379,8
821,Won,1099,209,8
822,Won,1061,247,8
823,Won,541,767,8
824,Won,1001,307,8
825,Won,1021,287,8
826,Lost,486,115,1
827,Won,665,643,8
828,Lost,488,113,1
829,Lost,486,115,1
830,Won,1019,289,8
831,Lost,462,139,1
832,Won,17,1291,8
833,Won,-1775,3083,8
834,Lost,634,169,3
835,Lost,-226,1433,7
836,Won,1039,269,8
837,Won,561,747,8
838,Lost,624,179,3
839,Lost,549,153,2
840,Won,-593,1901,8
841,Lost,387,113,0
842,Lost,504,97,1
843,Won,311,997,8
844,Lost,561,141,2
845,Lost,563,139,2
846,Won,395,913,8
847,Lost,614,189,3
848,Won,505,803,8
849,Lost,610,193,3
850,Won,427,881,8
851,Won,1015,293,8
852,Lost,723,181,4
853,Lost,387,113,0
854,Lost,395,105,0
855,Lost,573,129,2
856,Lost,535,167,2
857,Won,399,909,8
858,Lost,682,121,3
859,Lost,634,169,3
860,Won,233,1075,8
861,Lost,658,145,3
862,Lost,419,81,0
863,Lost,719,185,4
864,Lost,490,111,1
865,Won,899,409,8
866,Won,571,737,8
867,Won,459,849,8
868,Lost,551,151,2
869,Won,553,755,8
870,Lost,495,207,2
871,Lost,492,109,1
872,Won,1041,267,8
873,Lost,583,119,2
874,Won,985,323,8
875,Won,483,825,8
876,Lost,636,167,3
877,Lost,664,139,3
878,Lost,727,177,4
879,Won,479,829,8
880,Lost,595,309,4
881,Lost,496,105,1
882,Won,-625,1933,8
883,Won,189,1119,8
884,Won,1031,277,8
885,Lost,397,103,0
886,Lost,557,145,2
887,Lost,509,193,2
888,Lost,438,163,1
889,Lost,652,151,3
890,Lost,658,145,3
891,Won,979,329,8
892,Lost,674,129,3
893,Lost,591,111,2
894,Lost,481,221,2
895,Won,1035,273,8
896,Won,45,1263,8
897,Lost,474,127,1
898,Won,-539,1847,8
899,Won,663,645,8
900,Won,1045,263,8
901,Won,1021,287,8
902,Lost,397,103,0
903,Won,567,741,8
904,Lost,430,777,7
905,Won,369,939,8
906,Won,1073,235,8
907,Won,943,365,8
908,Lost,547,155,2
909,Won,421,887,8
910,Won,351,957,8
911,Won,987,321,8
912,Lost,415,85,0
913,Lost,-1026,2233,7
914,Won,-35,1343,8
915,Lost,541,161,2
916,Lost,486,115,1
917,Won,965,343,8
918,Won,-1371,2679,8
919,Won,483,825,8
920,Won,181,1127,8
921,Won,711,597,8
922,Won,1081,227,8
923,Won,-749,2057,8
924,Lost,577,125,2
925,Lost,482,119,1
926,Won,51,1257,8
927,Lost,553,149,2
928,Lost,498,103,1
929,Won,1079,229,8
930,Lost,417,83,0
931,Lost,668,135,3
932,Lost,644,159,3
933,Lost,419,81,0
934,Lost,470,131,1
935,Lost,502,99,1
936,Won,1075,233,8
937,Lost,410,191,1
938,Won,123,1185,8
939,Lost,652,151,3
940,Lost,646,157,3
941,Won,1035,273,8
942,Won,1071,237,8
943,Lost,492,109,1
944,Lost,595,107,2
945,Lost,373,127,0
946,Won,811,497,8
947,Lost,577,125,2
948,Won,467,841,8
949,Lost,640,163,3
950,Lost,429,71,0
951,Won,1091,217,8
952,Lost,749,155,4
953,Won,859,449,8
954,Won,1063,245,8
955,Won,837,471,8
956,Won,973,335,8
957,Won,1087,221,8
958,Won,-85,1393,8
959,Won,927,381,8
960,Lost,589,113,2
961,Lost,385,115,0
962,Lost,603,99,2
963,Lost,751,153,4
964,Lost,559,143,2
965,Won,1097,211,8
966,Lost,470,131,1
967,Won,1029,279,8
968,Lost,572,231,3
969,Lost,482,119,1
970,Won,33,1275,8
971,Lost,506,95,1
972,Won,379,929,8
973,Lost,551,151,2
974,Lost,622,383,5
975,Lost,484,117,1
976,Lost,478,123,1
977,Won,-71,1379,8
978,Won,431,877,8
979,Lost,387,113,0
980,Won,1033,275,8
981,Lost,411,89,0
982,Won,887,421,8
983,Lost,567,135,2
984,Won,1041,267,8
985,Won,619,689,8
986,Lost,389,111,0
